name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Amanda Ribas,12.0,5.0,160.02,56.7,167.64,Orthodox,30.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
Rose Namajunas,13.0,6.0,165.1,56.7,165.1,Orthodox,31.0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5
Karl Williams,10.0,1.0,190.5,106.59,200.66,Orthodox,34.0,2.87,0.52,1.7,0.6,4.75,0.5,1.0,0.2
Justin Tafa,7.0,4.0,182.88,119.75,187.96,Southpaw,30.0,4.09,0.54,5.02,0.47,0.0,0.0,0.5,0.0
Edmen Shahbazyan,13.0,4.0,187.96,83.91,190.5,Orthodox,26.0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6
AJ Dobson,7.0,3.0,185.42,83.91,193.04,Orthodox,32.0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
Payton Talbott,8.0,0.0,177.8,61.23,177.8,Switch,25.0,8.05,0.54,3.58,0.51,0.0,0.0,0.9,0.5
Cameron Saaiman,9.0,2.0,172.72,61.23,170.18,Southpaw,23.0,5.32,0.46,4.18,0.51,0.91,0.28,0.47,0.7
Billy Quarantillo,18.0,6.0,177.8,65.77,177.8,Orthodox,35.0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1
Youssef Zalal,14.0,5.0,177.8,65.77,182.88,Switch,27.0,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3
Fernando Padilla,16.0,5.0,185.42,65.77,193.04,Orthodox,27.0,6.48,0.42,5.25,0.53,0.0,0.0,1.0,0.8
Luis Pajuelo,8.0,2.0,177.8,65.77,175.26,Orthodox,29.0,6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0
Kurt Holobaugh,21.0,8.0,180.34,70.31,177.8,Orthodox,37.0,4.37,0.43,4.07,0.48,0.71,0.36,0.46,0.9
Trey Ogden,17.0,6.0,180.34,70.31,182.88,Orthodox,34.0,3.38,0.47,3.59,0.58,1.64,0.23,1.0,0.6
Ricardo Ramos,16.0,6.0,175.26,65.77,182.88,Orthodox,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7
Julian Erosa,29.0,12.0,185.42,65.77,187.96,Southpaw,34.0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8
Miles Johns,14.0,2.0,170.18,61.23,167.64,Orthodox,29.0,3.28,0.47,2.55,0.68,1.15,0.22,0.85,0.0
Cody Gibson,20.0,10.0,177.8,61.23,180.34,Orthodox,36.0,4.0,0.43,4.08,0.57,1.28,0.28,0.68,0.2
Jarno Errens,14.0,5.0,180.34,65.77,185.42,Orthodox,29.0,3.44,0.46,3.36,0.63,0.0,0.0,0.28,0.3
Steven Nguyen,9.0,2.0,180.34,65.77,185.42,Switch,30.0,7.15,0.4,7.36,0.6,0.28,1.0,0.84,0.0
Montserrat Rendon,6.0,1.0,172.72,61.23,172.72,Orthodox,35.0,3.13,0.28,3.9,0.54,3.0,0.54,1.0,0.0
Daria Zhelezniakova,9.0,1.0,175.26,61.23,172.72,,28.0,3.8,0.38,1.67,0.82,0.0,0.0,0.5,0.0
Igor Severino,8.0,1.0,170.18,56.7,175.26,Orthodox,20.0,7.17,0.52,4.33,0.47,9.69,0.71,0.5,0.0
Andre Lima,8.0,0.0,170.18,56.7,170.18,Orthodox,25.0,3.98,0.6,2.67,0.6,1.31,0.66,0.61,1.3
Mohammed Usman,11.0,3.0,187.96,108.41,200.66,Orthodox,34.0,3.18,0.37,4.21,0.52,0.89,0.18,0.0,0.0
Mick Parkin,9.0,0.0,193.04,120.2,200.66,Orthodox,28.0,4.54,0.51,3.94,0.59,1.6,0.41,0.5,0.3
