Name,Nickname,Victories,Defeats,Draws,Height_cm,Weight_kg,Reach_cm,stance_x,Date of Birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name,name_y,wins_y,losses_y,height,weight,reach,stance_y,Age,Sig_Strikes_Minute,Sig_Strikes Accuracy,Sig_Strikes_Absorved_Min,Sig_Strikes_Defence,Av_TD_Landed_per_15_Min,Takedown_Accuracy,Takedown_Defence,Av_Subm_Attemt_per_15_Min
Zach Reese,Savage,6,1,0,193.04,83.91,195.58,Switch,1994-03-24,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,zach reese,Zach Reese,6.0,1.0,193.04,83.91,195.58,Switch,30.0,3.93,0.66,6.56,0.28,0.0,0.0,0.0,9.8
John Albert,Prince,6,5,0,172.72,61.23,172.72,Orthodox,1986-10-13,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,john albert,John Albert,6.0,5.0,172.72,61.23,172.72,Orthodox,37.0,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
Rob MacDonald,Maximus,5,4,0,190.5,92.99,198.12,Orthodox,1978-09-05,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,rob macdonald,Rob MacDonald,5.0,4.0,190.5,92.99,198.12,Orthodox,45.0,1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4
Matt Arroyo,No Regard,3,3,0,177.8,77.11,182.88,Orthodox,1982-09-01,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,matt arroyo,Matt Arroyo,3.0,3.0,177.8,77.11,182.88,Orthodox,41.0,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
Ronda Rousey,Rowdy,12,2,0,170.18,61.23,167.64,Orthodox,1987-02-01,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,ronda rousey,Ronda Rousey,12.0,2.0,170.18,61.23,167.64,Orthodox,37.0,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8
Jimmy Flick,The Brick,16,7,0,170.18,56.7,172.72,Orthodox,1990-09-07,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,jimmy flick,Jimmy Flick,17.0,7.0,170.18,56.7,172.72,Orthodox,33.0,1.7,0.5,5.2,0.4,1.79,0.26,0.0,5.4
Rousimar Palhares,Toquinho,19,8,0,172.72,77.11,180.34,Orthodox,1980-02-26,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,rousimar palhares,Rousimar Palhares,19.0,8.0,172.72,77.11,180.34,Orthodox,44.0,1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,1993-12-02,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,karine silva,Karine Silva,17.0,4.0,165.1,56.7,170.18,Orthodox,30.0,3.37,0.35,3.37,0.5,2.45,0.6,0.0,4.1
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,1986-04-29,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,dustin hazelett,Dustin Hazelett,12.0,7.0,185.42,77.11,193.04,Orthodox,37.0,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,1990-08-24,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,aliaskhab khizriev,Aliaskhab Khizriev,14.0,0.0,175.26,83.91,187.96,Southpaw,33.0,6.01,0.64,4.38,0.61,5.64,0.6,1.0,3.8
Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox,1987-09-17,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,hector urbina,Hector Urbina,17.0,10.0,180.34,77.11,185.42,Orthodox,36.0,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8
Gabriel Bonfim,Marretinha,15,1,0,185.42,77.11,182.88,Orthodox,1997-08-20,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,gabriel bonfim,Gabriel Bonfim,15.0,1.0,185.42,77.11,182.88,Orthodox,26.0,4.87,0.4,5.25,0.59,4.75,0.71,1.0,3.8
James Wilks,Lightning,7,4,0,185.42,77.11,190.5,Orthodox,1978-05-04,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,james wilks,James Wilks,7.0,4.0,185.42,77.11,190.5,Orthodox,45.0,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8
HyunSung Park,Peace of Mind,8,0,0,170.18,56.7,167.64,Orthodox,1995-11-04,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,hyunsung park,HyunSung Park,9.0,0.0,170.18,56.7,167.64,Orthodox,28.0,4.15,0.44,3.43,0.59,1.54,0.27,1.0,2.6
Rolando Delgado,Roli,11,6,1,190.5,70.31,195.58,Orthodox,1981-11-22,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,rolando delgado,Rolando Delgado,11.0,6.0,190.5,70.31,195.58,Orthodox,42.0,1.56,0.4,1.83,0.62,1.17,0.22,0.0,3.5
Preston Parsons,Pressure,10,4,0,180.34,77.11,180.34,Orthodox,1995-07-15,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,preston parsons,Preston Parsons,11.0,4.0,180.34,77.11,180.34,Orthodox,28.0,3.83,0.55,3.18,0.51,4.3,0.43,0.8,3.1
Zhang Tiequan,The Wolf,15,4,0,172.72,70.31,175.26,Orthodox,1978-07-25,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,zhang tiequan,Zhang Tiequan,15.0,4.0,172.72,70.31,175.26,Orthodox,45.0,1.23,0.36,2.14,0.51,1.95,0.58,0.75,3.4
Herbert Burns,The Blaze,11,4,0,175.26,65.77,185.42,Orthodox,1988-02-02,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3,herbert burns,Herbert Burns,11.0,4.0,175.26,65.77,185.42,Orthodox,36.0,1.61,0.51,4.74,0.3,3.92,0.75,0.6,3.3
Rob Broughton,The Bear,16,7,1,187.96,120.2,187.96,Orthodox,1983-03-03,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,rob broughton,Rob Broughton,16.0,7.0,187.96,120.2,187.96,Orthodox,41.0,2.83,0.6,2.54,0.51,0.0,0.0,0.26,3.2
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,108.86,195.58,Orthodox,1989-07-06,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,dmitry sosnovskiy,Dmitry Sosnovskiy,11.0,0.0,190.5,108.86,195.58,Orthodox,34.0,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2
Jesse Taylor,JT Money,31,15,0,182.88,77.11,185.42,Orthodox,1983-01-02,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,jesse taylor,Jesse Taylor,31.0,15.0,182.88,77.11,185.42,Orthodox,41.0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,1993-05-02,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,kevin jousset,Kevin Jousset,10.0,2.0,187.96,77.11,190.5,Orthodox,30.0,8.23,0.55,5.1,0.53,1.51,0.66,1.0,0.8
Manny Bermudez,The Bermudez Triangle,14,2,0,177.8,65.77,180.34,Orthodox,1994-07-16,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,manny bermudez,Manny Bermudez,14.0,2.0,177.8,65.77,180.34,Orthodox,29.0,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1
Anthony Hernandez,Fluffy,11,2,0,182.88,83.91,190.5,Orthodox,1993-10-18,4.33,62.0,3.36,46.0,6.79,57.0,63.0,2.9,anthony hernandez,Anthony Hernandez,12.0,2.0,182.88,83.91,190.5,Orthodox,30.0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3.0
Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,1981-10-12,1.28,42.0,1.56,48.0,2.36,63.0,37.0,2.8,jason high,Jason High,21.0,6.0,172.72,70.31,185.42,Southpaw,42.0,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8
Yoshiyuki Yoshida,Zenko,18,9,0,180.34,77.11,177.8,Southpaw,1974-05-10,0.85,36.0,3.67,36.0,1.41,28.0,25.0,2.8,yoshiyuki yoshida,Yoshiyuki Yoshida,18.0,9.0,180.34,77.11,177.8,Southpaw,49.0,0.85,0.36,3.67,0.36,1.41,0.28,0.25,2.8
Rinya Nakamura,Hybred,8,0,0,170.18,61.23,172.72,Southpaw,1995-03-23,4.23,54.0,1.78,70.0,4.23,85.0,100.0,2.8,rinya nakamura,Rinya Nakamura,9.0,0.0,170.18,61.23,172.72,Southpaw,29.0,3.53,0.54,1.38,0.67,3.72,0.9,1.0,1.6
Khamzat Chimaev,Borz,13,0,0,187.96,83.91,190.5,Orthodox,1994-05-01,5.72,58.0,3.46,42.0,3.99,46.0,100.0,2.7,khamzat chimaev,Khamzat Chimaev,13.0,0.0,187.96,83.91,190.5,Orthodox,29.0,5.72,0.58,3.46,0.42,3.99,0.46,1.0,2.7
Charles Oliveira,Do Bronxs,34,9,0,177.8,70.31,187.96,Orthodox,1989-10-17,3.54,53.0,3.19,51.0,2.32,40.0,55.0,2.7,charles oliveira,Charles Oliveira,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7
Charles McCarthy,Chainsaw,10,5,0,177.8,83.91,180.34,Orthodox,1980-08-06,0.18,12.0,4.03,56.0,2.67,60.0,0.0,2.7,charles mccarthy,Charles McCarthy,10.0,5.0,177.8,83.91,180.34,Orthodox,43.0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7
Julian Marquez,The Cuban Missile Crisis,9,4,0,187.96,83.91,182.88,Orthodox,1990-05-08,4.86,44.0,4.99,51.0,0.0,0.0,53.0,2.6,julian marquez,Julian Marquez,9.0,4.0,187.96,83.91,182.88,Orthodox,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6
Nick Thompson,The Goat,38,14,1,185.42,77.11,187.96,Orthodox,1981-06-23,1.87,42.0,1.8,49.0,1.06,100.0,35.0,2.6,nick thompson,Nick Thompson,38.0,14.0,185.42,77.11,187.96,Orthodox,42.0,1.87,0.42,1.8,0.49,1.06,1.0,0.35,2.6
Dustin Pague,The Disciple,12,11,0,175.26,61.23,187.96,Orthodox,1987-08-05,1.65,53.0,2.96,41.0,1.03,44.0,55.0,2.6,dustin pague,Dustin Pague,12.0,11.0,175.26,61.23,187.96,Orthodox,36.0,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6
