name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name
Jose Barreto,,0,1,0,,83.91,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jose barreto
Natalia Silva,,16,5,1,162.56,56.7,165.1,Southpaw,1997-02-03,5.2,48.0,2.23,65.0,0.68,33.0,92.0,0.0,natalia silva
Rama Supandhi,Hellboy,8,4,0,165.1,56.7,167.64,Southpaw,1991-11-07,2.2,42.0,3.53,48.0,1.0,11.0,0.0,0.0,rama supandhi
Justin Salas,J-Bomb,12,7,0,172.72,70.31,177.8,Southpaw,1982-03-13,3.42,43.0,2.96,68.0,2.43,20.0,0.0,0.0,justin salas
Peter Petties,The Joker,5,3,0,180.34,65.77,182.88,Southpaw,1990-12-20,2.61,29.0,8.24,48.0,0.0,0.0,0.0,0.0,peter petties
John Hosman,,18,8,1,177.8,61.23,,Southpaw,1980-11-13,1.11,38.0,1.52,45.0,0.0,0.0,46.0,0.0,john hosman
Brandon Royval,Raw Dawg,15,6,0,175.26,56.7,172.72,Southpaw,1992-08-16,3.45,38.0,2.63,50.0,0.66,100.0,39.0,2.3,brandon royval
Nicco Montano,,5,3,0,165.1,61.23,165.1,Southpaw,1988-12-16,5.6,41.0,4.43,64.0,2.25,54.0,69.0,0.4,nicco montano
Yoshihisa Yamamoto,,14,25,1,187.96,99.79,,Southpaw,1970-07-04,1.65,38.0,3.05,53.0,1.0,20.0,50.0,0.6,yoshihisa yamamoto
Tony DeSouza,,11,4,0,182.88,77.11,177.8,Southpaw,1974-07-26,1.12,52.0,1.57,41.0,2.25,42.0,40.0,1.5,tony desouza
Andre Walker,,1,5,0,180.34,92.99,,Southpaw,,2.28,31.0,4.36,34.0,0.0,0.0,0.0,0.0,andre walker
Yoislandy Izquierdo,Cuba,10,4,0,180.34,70.31,,Southpaw,1984-01-09,2.93,52.0,1.4,26.0,0.0,0.0,50.0,0.0,yoislandy izquierdo
Rogerio Nogueira,Minotouro,23,10,0,187.96,92.99,190.5,Southpaw,1976-06-02,2.43,35.0,2.34,59.0,0.64,44.0,62.0,0.8,rogerio nogueira
Luiz Cane,Banha,17,7,0,187.96,83.91,195.58,Southpaw,1981-04-24,4.79,41.0,5.0,60.0,0.56,28.0,100.0,0.3,luiz cane
Mitch Gagnon,,12,5,0,165.1,61.23,165.1,Southpaw,1984-10-10,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9,mitch gagnon
Christian Lohsen,Hollywood,4,2,0,187.96,70.31,195.58,Southpaw,1995-01-24,5.27,49.0,6.93,44.0,0.0,0.0,0.0,2.0,christian lohsen
Marcus LeVesseur,The Prospect,22,7,0,175.26,70.31,177.8,Southpaw,1982-07-17,2.55,64.0,3.7,37.0,3.89,36.0,83.0,0.6,marcus levesseur
Cezar Ferreira,Mutante,13,8,0,185.42,83.91,198.12,Southpaw,1985-02-15,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5,cezar ferreira
Marcio Alexandre Junior,Lyoto,17,4,0,182.88,83.91,190.5,Southpaw,1989-05-05,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,marcio alexandre junior
Dan Severn,The Beast,101,19,1,187.96,113.4,,Southpaw,1958-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dan severn
